timestamp_utc,machine_id,project_commit,allocator_version,allocator_commit,workload,scale,allocator,run_number,repetitions,arg1,arg2,elapsed_seconds,user_seconds,system_seconds,cpu_percent,peak_memory_bytes,major_faults,minor_faults,voluntary_context_switches,involuntary_context_switches,checksum,exit_code,status,stdout_log,stderr_log,time_log
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,regular,1,120,3512841,,23347.000000,23318.03,28.79,99.999,462458880,8,13585688,3166,19905,1541966748840417294,0,success,run-logs/list/long/regular_run_1.stdout.txt,run-logs/list/long/regular_run_1.stderr.txt,run-logs/list/long/regular_run_1.time.txt
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,overloaded,1,120,3512841,,25888.000000,25874.01,13.70,99.999,1180983296,21,230738,3140,18945,1541966748840417294,0,success,run-logs/list/long/overloaded_run_1.stdout.txt,run-logs/list/long/overloaded_run_1.stderr.txt,run-logs/list/long/overloaded_run_1.time.txt
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,regular,2,120,3512841,,23290.000000,23260.77,29.09,99.999,462458880,10,13585469,3154,19834,1541966748840417294,0,success,run-logs/list/long/regular_run_2.stdout.txt,run-logs/list/long/regular_run_2.stderr.txt,run-logs/list/long/regular_run_2.time.txt
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,overloaded,2,120,3512841,,25947.000000,25927.19,19.52,99.999,1180983296,17,229662,3151,15707,1541966748840417294,0,success,run-logs/list/long/overloaded_run_2.stdout.txt,run-logs/list/long/overloaded_run_2.stderr.txt,run-logs/list/long/overloaded_run_2.time.txt
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,regular,3,120,3512841,,23318.000000,23288.59,28.99,99.998,462458880,19,13585588,3153,24369,1541966748840417294,0,success,run-logs/list/long/regular_run_3.stdout.txt,run-logs/list/long/regular_run_3.stderr.txt,run-logs/list/long/regular_run_3.time.txt
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,overloaded,3,120,3512841,,25930.000000,25912.18,18.36,100.002,1180983296,18,231951,3173,21995,1541966748840417294,0,success,run-logs/list/long/overloaded_run_3.stdout.txt,run-logs/list/long/overloaded_run_3.stderr.txt,run-logs/list/long/overloaded_run_3.time.txt
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,regular,4,120,3512841,,23427.000000,23398.02,29.35,100.002,462458880,12,13585470,3134,19621,1541966748840417294,0,success,run-logs/list/long/regular_run_4.stdout.txt,run-logs/list/long/regular_run_4.stderr.txt,run-logs/list/long/regular_run_4.time.txt
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,overloaded,4,120,3512841,,25922.000000,25904.27,17.16,99.998,1180983296,18,230048,3143,17898,1541966748840417294,0,success,run-logs/list/long/overloaded_run_4.stdout.txt,run-logs/list/long/overloaded_run_4.stderr.txt,run-logs/list/long/overloaded_run_4.time.txt
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,regular,5,120,3512841,,23361.000000,23330.40,29.67,99.996,462458880,10,13586282,3152,21588,1541966748840417294,0,success,run-logs/list/long/regular_run_5.stdout.txt,run-logs/list/long/regular_run_5.stderr.txt,run-logs/list/long/regular_run_5.time.txt
2026-09-09T05:37:23Z,ryzen7900x-32gb-wsl,12617e0f943a7b68d8334aa5477dfa403a75ca21,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,list,long,overloaded,5,120,3512841,,25918.000000,25899.21,18.56,99.999,1180975104,15,230291,3138,20489,1541966748840417294,0,success,run-logs/list/long/overloaded_run_5.stdout.txt,run-logs/list/long/overloaded_run_5.stderr.txt,run-logs/list/long/overloaded_run_5.time.txt
