Program,Arg1,Arg2,Time,UserTime,SysTime,CPU,PeakMemoryKB,MajorFaults,MinorFaults,VoluntaryCS,InvoluntaryCS
regular_memory_stress,50,,0:31.30,31.18,0.07,99.840,164556,0,40499,1,804
regular_memory_stress,75,,0:48.44,48.27,0.09,99.835,164556,0,40501,1,1715
regular_memory_stress,100,,1:06.70,66.35,0.08,99.595,164296,0,40499,1,2357
overloaded_memory_stress,50,,1:38.04,97.76,0.11,99.827,171812,0,42285,1,339
overloaded_memory_stress,75,,3:36.32,215.70,0.08,99.750,171688,0,42286,1,2081
overloaded_memory_stress,100,,7:03.06,422.57,0.09,99.905,171744,0,42285,1,4162
