Program,Arg1,Arg2,Time,UserTime,SysTime,CPU,PeakMemoryKB,MajorFaults,MinorFaults,VoluntaryCS,InvoluntaryCS
regular_memory_stress,75,,0:54.64,54.35,0.11,99.671,164368,0,40500,1,4136
regular_memory_stress,75,,0:52.34,52.22,0.09,99.943,164556,0,40502,1,288
regular_memory_stress,75,,0:52.46,52.34,0.08,99.924,164556,0,40501,1,257
regular_memory_stress,75,,0:52.11,52.00,0.08,99.942,164556,0,40499,1,200
regular_memory_stress,75,,0:52.35,52.25,0.08,99.962,164556,0,40500,1,249
regular_memory_stress,440,,5:07.15,306.89,0.10,99.948,182132,0,48166,1,1331
regular_memory_stress,440,,5:07.40,307.14,0.10,99.948,182100,0,48164,1,1478
regular_memory_stress,440,,5:08.24,307.96,0.09,99.938,181984,0,48163,1,1889
regular_memory_stress,440,,5:07.20,307.05,0.11,99.987,182076,0,48165,1,2292
regular_memory_stress,440,,5:08.69,308.55,0.10,99.987,182072,0,48165,1,2344
regular_memory_stress,750,,8:52.51,532.13,0.15,99.957,204456,0,73798,1,3263
regular_memory_stress,750,,8:46.59,526.28,0.15,99.970,204496,0,73799,1,1851
regular_memory_stress,750,,8:46.64,526.25,0.13,99.951,204400,0,73799,1,2462
regular_memory_stress,750,,8:49.74,529.33,0.15,99.951,204368,0,73799,1,2299
regular_memory_stress,750,,8:50.63,530.18,0.16,99.945,204496,0,73800,1,2331
overloaded_memory_stress,75,,3:29.45,209.28,0.08,99.957,171744,0,42287,1,917
overloaded_memory_stress,75,,3:28.27,208.08,0.08,99.947,171816,0,42287,1,1001
overloaded_memory_stress,75,,3:28.48,208.33,0.07,99.962,171736,0,42285,1,834
overloaded_memory_stress,75,,3:30.16,209.97,0.08,99.948,171744,0,42288,1,969
overloaded_memory_stress,75,,3:29.21,209.04,0.08,99.957,171872,0,42286,1,897
