Program,Arg1,Arg2,Time,UserTime,SysTime,CPU,PeakMemoryKB,MajorFaults,MinorFaults,VoluntaryCS,InvoluntaryCS
regular_memory_stress,75,,0:53.22,53.10,0.09,99.944,164556,0,40500,1,676
regular_memory_stress,75,,0:53.87,53.76,0.07,99.926,164556,0,40500,1,665
regular_memory_stress,75,,0:53.12,53.03,0.08,99.981,164428,0,40499,1,471
regular_memory_stress,75,,0:52.19,52.10,0.08,99.981,164556,0,40500,1,388
regular_memory_stress,75,,0:52.60,52.51,0.07,99.962,164428,0,40501,1,518
regular_memory_stress,425,,4:58.63,298.49,0.09,99.983,182004,0,48165,1,2264
regular_memory_stress,425,,5:08.08,307.40,0.17,99.834,182036,0,48167,1,7074
regular_memory_stress,425,,4:56.35,296.07,0.09,99.936,181964,0,48163,1,1598
regular_memory_stress,425,,5:04.37,303.89,0.14,99.888,181932,0,48166,1,4510
regular_memory_stress,425,,5:05.52,305.24,0.11,99.944,181952,0,48165,1,2616
regular_memory_stress,750,,9:06.34,545.97,0.16,99.962,204240,0,73800,1,2481
regular_memory_stress,750,,8:50.11,529.86,0.17,99.985,204364,0,73799,1,4659
regular_memory_stress,750,,9:29.29,567.36,0.24,99.703,204180,0,73800,1,17994
regular_memory_stress,750,,9:27.88,565.16,0.35,99.583,204564,0,73798,1,36586
regular_memory_stress,750,,9:16.12,553.86,0.31,99.649,204476,0,73799,1,39054
overloaded_memory_stress,75,,3:28.21,208.09,0.09,99.986,171760,0,42285,1,1409
overloaded_memory_stress,75,,3:28.23,208.12,0.07,99.981,171764,0,42286,1,1456
overloaded_memory_stress,75,,3:30.16,210.04,0.08,99.981,171872,0,42286,1,1608
overloaded_memory_stress,75,,3:33.56,213.41,0.08,99.967,171872,0,42286,1,1986
overloaded_memory_stress,75,,3:34.58,214.45,0.09,99.981,171872,0,42285,1,1537
overloaded_memory_stress,425,,1:50:12,6610.12,0.43,99.978,189948,0,46837,3,41531
overloaded_memory_stress,425,,1:53:16,6793.80,0.12,99.969,189908,0,46838,1,31358
overloaded_memory_stress,425,,2:13.75,133.65,0.06,99.970,171644,0,42273,1,273
overloaded_memory_stress,425,,0:01.67,1.59,0.07,99.401,150240,0,36867,1,4
overloaded_memory_stress,425,,0:04.13,4.05,0.08,100.000,150240,0,36866,1,10
overloaded_memory_stress,750,,0:01.20,1.12,0.08,100.000,150232,0,36867,1,5
overloaded_memory_stress,750,,0:05.32,5.24,0.07,99.812,150240,0,36866,1,20
overloaded_memory_stress,750,,0:02.65,2.56,0.08,99.623,150140,0,36863,1,18
overloaded_memory_stress,750,,0:02.37,2.29,0.07,99.578,150232,0,36866,1,28
overloaded_memory_stress,750,,0:02.59,2.51,0.07,99.614,150240,0,36866,1,9
