Program,Arg1,Arg2,Time,UserTime,SysTime,CPU,PeakMemoryKB,MajorFaults,MinorFaults,VoluntaryCS,InvoluntaryCS
regular_new,320,,3:27.72,207.45,0.21,99.971,212308,0,faults:,,
overloaded_new,320,,4:04.54,244.38,0.09,99.971,217628,0,faults:,,
regular_memory_stress,230,,1:51.51,111.43,0.06,99.982,164364,0,faults:,,
overloaded_memory_stress,230,,31:56.84,1917.14,0.06,100.019,171720,0,faults:,,
regular_uniform_nodes,350,1200,11:23.19,683.07,0.09,99.996,252168,0,faults:,,
overloaded_uniform_nodes,350,1200,10:47.96,647.68,0.10,99.972,257820,0,faults:,,
regular_linked_list,1000000,,0:40.15,40.13,0.04,100.050,130724,0,faults:,,
overloaded_linked_list,1000000,,7:35:43,27340.60,0.26,99.992,255544,0,faults:,,
