Program,Arg1,Arg2,Time,UserTime,SysTime,CPU,PeakMemoryKB,MajorFaults,MinorFaults,VoluntaryCS,InvoluntaryCS
regular_memory_stress,100,,1:13.16,72.92,0.09,99.795,164404,0,40502,2,3556
regular_memory_stress,100,,1:10.13,70.00,0.09,99.943,164524,0,40500,1,464
regular_memory_stress,100,,1:33.80,92.55,0.32,99.009,164444,0,40499,1,9049
regular_memory_stress,100,,1:43.42,102.24,0.13,98.985,164276,0,40502,1,6732
regular_memory_stress,100,,1:24.39,84.12,0.11,99.810,164532,0,40499,1,2601
overloaded_memory_stress,100,,7:33.24,453.11,0.08,99.989,171736,0,42286,1,2878
overloaded_memory_stress,100,,7:30.01,449.86,0.09,99.987,171840,0,42287,1,2750
overloaded_memory_stress,100,,7:30.47,450.33,0.09,99.989,171848,0,42287,1,2419
overloaded_memory_stress,100,,7:39.68,459.56,0.09,99.993,171712,0,42287,1,2647
overloaded_memory_stress,100,,7:25.30,445.17,0.08,99.989,171748,0,42284,1,2309
regular_memory_stress,440,,5:20.95,320.83,0.10,99.994,181884,0,48164,1,1337
regular_memory_stress,440,,5:21.39,321.26,0.11,99.994,181824,0,48165,1,1387
regular_memory_stress,440,,5:22.16,322.03,0.11,99.994,181956,0,48166,1,1386
regular_memory_stress,440,,5:23.73,323.59,0.11,99.991,181956,0,48165,1,1262
regular_memory_stress,440,,5:22.51,322.36,0.11,99.988,182012,0,48163,1,1278
overloaded_memory_stress,440,,2:45:48,9945.25,0.18,99.974,189768,0,46837,1,35517
overloaded_memory_stress,440,,2:34:15,9250.66,0.52,99.959,189668,0,46836,1,48456
overloaded_memory_stress,440,,2:45:52,9949.04,0.21,99.972,189968,0,46838,1,19776
overloaded_memory_stress,440,,2:49:07,10138.09,0.49,99.917,189788,0,46838,1,69336
overloaded_memory_stress,440,,2:46:15,9972.45,0.30,99.977,189888,0,46840,1,46670
regular_memory_stress,900,,11:30.53,690.34,0.15,99.994,204396,0,74634,1,1128
regular_memory_stress,900,,11:18.09,677.79,0.16,99.979,204400,0,74634,1,1264
regular_memory_stress,900,,11:22.22,682.02,0.16,99.994,204420,0,74634,1,1087
regular_memory_stress,900,,11:16.31,676.10,0.18,99.996,204400,0,74632,1,1279
regular_memory_stress,900,,11:17.54,677.31,0.16,99.990,204340,0,74635,1,1209
overloaded_memory_stress,900,,7:10:46,25824.24,1.44,99.921,213608,0,52786,1,290150
overloaded_memory_stress,900,,7:25:53,26653.66,5.35,99.649,213468,0,52787,1,878233
overloaded_memory_stress,900,,6:57:59,25062.83,0.68,99.938,213468,0,52789,2,127142
overloaded_memory_stress,900,,7:51:25,24930.26,0.38,88.141,213568,0,52786,2,137556
overloaded_memory_stress,900,,7:17:22,23327.23,1.30,88.898,213448,0,52789,4,142324
